Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
Stichting Vluchteling,st_vluchteling,International NGO,75,0.0,87,54
Stichting VU Amsterdam - Amsterdam Centre for World Food Studies,acwfs_vu,"Academic, Training and Research",0,0.0,46,15
Stichting Wilde Ganzen/ IKON,nl_wg,National NGO,12,0.0,77,30
Stichting Wings For Aid Foundation,wfaf,Foundation,25,33.333333333333336,65,41
Stichting Woord en Daad,w-d,International NGO,88,55.666666666666664,76,73
Stockholm International Water Institute,siwi,International NGO,25,0.0,74,33
Street Child,street_child,International NGO,88,66.66666666666667,83,79
StreetInvest,si,International NGO,0,0.0,0,0
Stromme Foundation,stromme_ug,National NGO,0,0.0,0,0
Studio Globo,sg,"Academic, Training and Research",25,0.0,0,8
Support Trust for Africa Development (STAD),stad,International NGO,0,0.0,0,0
Survivors Fund (SURF),surf,International NGO,62,0.0,60,41
